Domain,Name,signal_category,chosen_signal,first_message,second_message,third_message
rellingsystems.com,Relling,other,team-pedigree precinct (SpaceX/NASA background),"Hey {first-name}, came across Relling while looking at engineering tools.

You've got a team out of SpaceX and NASA building this, so I'd guess early trust comes from that pedigree and word between serious engineering circles.

Which means the site is where a new team decides you're credible enough to test critical systems. And there's room for it to feel as rigorous as the people behind it.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, making serious engineering work land clearly with a careful audience.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Relling, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
mountainprotocol.com,Mountain Protocol,other,strong precinct (OpenZeppelin audit),"Hey {first-name}, came across Mountain Protocol while looking at crypto tools.

You've been audited by OpenZeppelin, so I'd guess trust and regulation are the whole reason people pick you over riskier options.

Which means the site is where a cautious institution decides you're safe to use. And there's room for it to feel as secure and regulated as you actually are.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to earn trust with careful, technical buyers, on a similar challenge to yours.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Mountain Protocol, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
trials.ai/,Trials.ai,other,strong precinct (100+ life science companies served),"Hey {first-name}, came across Trials.ai while looking at health tools.

You've served over 100 life science companies optimizing trial protocols, so I'd guess most new business comes through a tight world of clinical and regulatory people.

Which means the site is where a new sponsor decides you're proven enough to trust with a trial. And there's room for it to feel as established as that track record.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a life sciences company in a heavily regulated space, on a similar challenge, building a credible site their own team could keep expanding.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Felt close to what you're working through with Trials.ai, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
www.herdora.com/,Wafer,other,strong precinct (top-benchmarked inference),"Hey {first-name}, came across Wafer while looking at AI tools.

You're benchmarking as the fastest inference option out there, so I'd guess developers find you by comparing numbers and picking the top one.

Which means the site is where a technical buyer confirms you're the real deal. And there's room for it to feel as sharp as your benchmarks are.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, getting a serious product to land fast with engineers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Wafer, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
ascentralabs.ai/,Ascentra Labs,content,content depth / proof (design already strong),"Hey {first-name}, came across Ascentra while looking at AI tools.

You explain the product cleanly and the site already looks sharp, so I'd guess the people landing get it fast and are mostly weighing whether to trust it with real PE work.

Which means the next thing they want is proof. And there's room to back it with named results and go a level deeper.

Have you thought about building that part out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, giving a strong product the depth and proof to convince careful buyers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one quick thing I noticed, your SSL certificate looks set to expire in about 27 days, worth a renew before it lapses.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
taholabs.com,TAHO,design,soft refresh (crediting a strong data-backed argument),"Hey {first-name}, came across TAHO while looking at dev tools.

You make a genuinely sharp, data-backed case for the GPU utilization problem, so I'd guess the engineers landing take you seriously fast.

Which means the site is already doing real convincing. And there's room for the design to feel as rigorous as the argument you're making.

Have you thought about a refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, getting a serious product to land fast with engineers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, worth flagging, you've got Microsoft Ads and X ad cookies loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
zettatech.sa.com,Zetta Technologies,design,soft refresh (unfamiliar-model trust inference),"Hey {first-name}, came across Zetta while looking at IT tools.

You're offering device-as-a-service with a genuinely different model, so I'd guess a lot of businesses land curious but needing to trust something unfamiliar.

Which means the site has to make an unusual model feel safe and clear. And there's room for it to feel as polished as the offer is smart.

Would a refresh be worth exploring?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to make an unfamiliar product feel clear and credible, on a similar challenge to yours.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
loon.finance,Loon,other,"trust precinct (reserves at ATB Financial, attested)","Hey {first-name}, came across Loon while looking at fintech tools.

You hold your reserves at ATB Financial and publish attestations, so I'd guess trust and transparency are exactly how you win against riskier stablecoins.

Which means the site is where a cautious partner decides you're the credible, regulated option. And there's room for it to feel as trustworthy as your setup actually is.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to earn trust with careful, technical buyers, on a similar challenge to yours.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Loon, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
www.nursesbnb.com/,Nursesbnb,other,niche community + two-sided marketplace,"Hey {first-name}, came across Nursesbnb while looking at marketplace tools.

You built mid-term housing specifically by a healthcare pro for healthcare pros, so I'd guess most traction comes from nurses trusting one of their own and spreading the word.

Which means the site is where a traveling nurse decides you actually get them. And there's room for it to feel as tailored as the idea behind it.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a housing marketplace with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
ariga.io,Ariga Technologies,content,OSS precinct (Ent in Linux Foundation) + thin content,"Hey {first-name}, came across Ariga while looking at dev tools.

Your work on Ent made it into the Linux Foundation, so I'd guess a lot of trust comes from the open-source engineers who already know the project.

Which means the site is where a new team decides the commercial side is worth it. And there's room for it to explain a lot more than it does today.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, turning a thin site into one that actually explains the product and holds attention.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
www.stackfix.com/,Stackfix,design,soft refresh (independence/trust inference),"Hey {first-name}, came across Stackfix while looking at SaaS tools.

You're helping buyers compare software honestly, so I'd guess your whole value rests on people trusting your reviews are unbiased.

Which means the site itself has to feel credible and independent at a glance. And there's room for it to carry that trust more strongly.

Have you thought about a refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, giving a credibility-first product the polish to convince careful buyers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Stackfix, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
nexus.olaxbt.xyz/,OlaXBT,content,content proof (design already strong),"Hey {first-name}, came across OlaXBT while looking at crypto tools.

The site already looks sharp and you explain the tech well, so I'd guess people land intrigued and then start looking for proof it delivers real signals.

Which means credibility is the next thing they want. And there's room to bring named results and partners front and center.

Have you thought about building that out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, giving a strong product the proof and depth to convince careful buyers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also worth checking, your robots setup is currently blocking the AI crawlers, so tools like ChatGPT can't see the site, which matters more for getting found these days.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
cardiomo.com/,Cardiomo,other,"traction precinct (1,600+ pre-orders)","Hey {first-name}, came across Cardiomo while looking at health tools.

You've pulled over 1,600 pre-orders for the cardiac wearable, so I'd guess there's real demand from people who want reassurance about their heart health.

Which means the site is where that interest turns into trust and a purchase. And there's room for it to feel as reassuring and clinical as the device is.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a company in a careful, regulated health space, on a similar challenge, building a site as credible as the work behind it.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
www.adviceanalytics.com,"Advice Analytics, Inc.",other,strong precinct (known advisor-world names vouching),"Hey {first-name}, came across Advice Analytics while looking at fintech tools.

You've got known names in the advisor world vouching for you, so I'd guess most traction comes through financial advisors trusting a peer's recommendation.

Which means the site is where a new advisor decides you're worth adopting. And there's room for it to feel as credible as those endorsements.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, getting the people evaluating a strong product to actually engage with the site.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
www.thunderbirds.me,Thunderbirds,design,"genuinely lacking design (27, early-draft/amateurish)","Hey {first-name}, came across Thunderbirds while looking at AR and VR tools.

You're working across some genuinely cutting-edge areas, so I'd guess the site is people's first read on whether you're a serious team.

Which means right now it's selling you short. And there's real room to make it look and read like the ambition behind it.

Have you thought about a proper rebuild?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform that had to show off something visual and distinctive, on a similar challenge to yours.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
www.doorlist.app,DoorList,other,differentiator (keep 100% of ticket sales) + scale,"Hey {first-name}, came across DoorList while looking at event tools.

You let organizers keep 100% of their ticket sales, which is a real differentiator, so I'd guess growth spreads fast as hosts tell other hosts.

With nearly 30k visits a month, the site is where a lot of new organizers decide to trust you. And there's room for it to feel as sharp as that pitch is.

Is a refresh to match on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform built around a social community, on a similar challenge to yours, giving it a site as lively as the events it powers.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Also, worth flagging, you've got a Google Ads cookie loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
sherloqdata.io,Sherloq,other,strong precinct (analysts at Taboola) + scale,"Hey {first-name}, came across Sherloq while looking at data tools.

You've got analysts at places like Taboola using you for their SQL work, so I'd guess growth comes from data people recommending you to their teams.

With 12k visits a month, the site is where a lot of new analysts decide to try you. And there's room for it to feel as sharp as the product.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, getting a serious tool to land fast with engineers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, worth flagging, you've got Meta Pixel and Google Ads cookies loading the second someone lands, before any consent. I'm assuming you'll have EU visitors at your traffic, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
rulebase.co/,Rulebase,other,"strong precinct (95% fewer manual reviews, regulated)","Hey {first-name}, came across Rulebase while looking at AI tools.

You've cut manual reviews by 95% for teams in regulated environments, so I'd guess results like that carry weight fast with compliance-minded buyers.

Which means the site is where a new team decides you're proven and safe. And there's room for it to feel as sharp as those results.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a company in a heavily regulated, compliance-heavy space, on a similar challenge, building a credible site their own team could keep expanding.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Felt close to what you're working through with Rulebase, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
fullyramped.com,FullyRamped,performance,site speed (desktop 35),"Hey {first-name}, came across FullyRamped while looking at AI tools.

You're selling reps a way to ramp faster, so I'd guess a snappy site is part of proving you practice what you preach.

I ran a quick speed test and it scored 35 on desktop, which is slower than you'd want for that first impression. A quicker site would back up the pitch.

Have you thought about a rebuild to speed it up?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge, making a heavy site load fast and keep people around.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Also, worth flagging, you've got Meta Pixel and Google Ads cookies loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
microfactory.com,MicroFactory,content,"content build-out (waitlist-thin, 32)","Hey {first-name}, came across MicroFactory while looking at robotics tools.

You're building robotic workstations for precision automation, which is genuinely interesting, so I'd guess anyone landing wants to understand what it actually does.

Right now the site is mostly a waitlist. And there's real room to turn it into something that tells the full story.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, turning a thin site into one people actually stayed and read.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with MicroFactory, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
mobiusindustry.com/,Möbius Industries,content,"content depth (design good, content 51)","Hey {first-name}, came across Möbius while looking at climate tools.

You're refining materials from urban waste with robotics, which is genuinely ambitious, so I'd guess partners want to understand the process deeply before they buy in.

The site already looks clean, and there's room for it to explain and prove a lot more of how it works.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, giving an ambitious product the depth to convince careful buyers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Möbius, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
threatcaptain.com,ThreatCaptain,other,precinct (MSPs like DS Tech),"Hey {first-name}, came across ThreatCaptain while looking at security tools.

You've got MSPs like DS Tech backing you, so I'd guess growth spreads through the tight channel world where partners trade recommendations.

Which means the site is where a new MSP decides you're worth adopting. And there's room for it to feel as sharp as those endorsements.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with ThreatCaptain, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
