Name,Domain,priority,signal_category,chosen_signal,case_study_name,case_study_url,first_message,second_message,third_message
Dexa AI,dexa.ai,high,other,strong precinct (works with Huberman Lab etc.),Webless AI,https://prismport.co/case-studies/webless-ai,"Hey {first-name}, came across Dexa while looking at AI tools.

You've got names like Huberman Lab trusting you to make their work searchable, so I'd guess a lot of people arrive already curious and ready to dig in.

Which means the site is what turns that curiosity into people actually using it. And there's room for it to feel as premium as the experts you work with.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI search product a lot like yours, on a similar challenge, turning curious first-time visitors into people who actually stick around.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Felt close to what you're working through with Dexa, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Hookdeck,hookdeck.com,high,other,strong precinct (100B+ webhooks processed / dev traction),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Hookdeck while looking at dev tools.

You've pushed over 100 billion webhooks through the platform, so I'd guess growth is mostly engineers recommending you to other engineers.

Which means the site is where a developer decides you're solid enough to build on. And there's room for it to feel as dependable as the product itself.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical API company, on a similar challenge, getting a developer product to land quickly with the engineers evaluating it.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Hookdeck, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Medwise.ai,www.medwise.ai/,high,other,strong precinct (NHS practices / Mount Sinai origin),Amalia,https://prismport.co/case-studies/amalia-tech,"Hey {first-name}, came across Medwise while looking at health tools.

You've got NHS practices already using you, so I'd guess most adoption comes through clinicians trusting a name their peers recognize.

Which means the site is where a new health team decides you're credible. And there's room for it to feel as trusted as the institutions behind you.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a company in a heavily regulated, evidence-heavy space, on a similar challenge, building a credible site their own team could keep expanding.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Also worth checking, your robots setup is currently blocking the AI crawlers, so tools like ChatGPT can't see the site, which matters more for getting found these days.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Cirkled in,www.cirkledin.com/,medium,other,recognition precinct (Forbes / GSV Cup) with a soft refresh,YourCulture,https://prismport.co/case-studies/your-culture,"Hey {first-name}, came across Cirkled in while looking at consumer tools.

You've been featured by Forbes, so I'd guess a lot of families and schools find you through that kind of credibility and word of mouth.

Which means the site is where a new parent or student decides to trust you with their achievements. And there's room for it to feel as premium as that recognition suggests.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform for showcasing creators and artists, on a similar challenge to yours, giving people's achievements a home that feels as impressive as the work.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Felt close to what you're working through with Cirkled in, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
simplyblock,www.simplyblock.io,high,other,strong precinct (MongoDB advocate testimonial),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across simplyblock while looking at cloud tools.

You've got people like MongoDB's team vouching for how you fit their stack, so I'd guess most new interest comes from engineers who already trust that kind of endorsement.

Which means the site is where a technical buyer decides you're the real thing. And there's room for it to feel as refined as the engineering behind it.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical API company, on a similar challenge, getting a deeply technical product to land clearly with the engineers evaluating it.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with simplyblock, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
BeHeard Labs,gobeheard.com,high,other,"strong precinct (CMO testimonials, Cover Genius etc.)",Webless AI,https://prismport.co/case-studies/webless-ai,"Hey {first-name}, came across BeHeard while looking at AI tools.

You've got CMOs at companies like Cover Genius vouching for you, so I'd guess most new business comes through people hearing results from someone they trust.

Which means the site is where a warm lead confirms you're worth a real conversation. And there's room for it to feel as sharp as the outcomes your customers describe.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning strong interest into visitors who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Mindy,mindy.com,high,performance,"site speed (desktop 48, real-user load 6.53s)",Webless AI,https://prismport.co/case-studies/webless-ai,"Hey {first-name}, came across Mindy while looking at AI tools.

You're pulling around 40k visits a month, so I'd guess a lot of people are landing to see if it'll actually save them time.

I ran a quick speed test and it came back over 6 seconds to load. At that kind of traffic, a faster first load means more of those visitors stick around to try it.

Have you thought about a rebuild to speed it up?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product a lot like yours, on a similar challenge, making a heavy site load fast and keep people around.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Gumshoe AI,www.gumshoe.ai,high,other,strong precinct (customer citation lift 557%),Webless AI,https://prismport.co/case-studies/webless-ai,"Hey {first-name}, came across Gumshoe while looking at AI tools.

You've had a customer see citations jump 557% in a few months, so I'd guess word spreads fast between marketing teams comparing notes.

Which means the site is where a curious marketer decides you're worth a demo. And there's room for it to feel as sharp as the results you're posting.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI search product a lot like yours, on a similar challenge, turning strong results into visitors who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Felt close to what you're working through with Gumshoe, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Rodeo,www.gorodeo.app/,medium,design,soft refresh (community-growth inference),YourCulture,https://prismport.co/case-studies/your-culture,"Hey {first-name}, came across Rodeo while looking at consumer apps.

You're helping delivery drivers see all their earnings in one place, so I'd guess a lot of drivers find you through other drivers in the same groups and forums.

Which means the site is the first thing a curious driver checks before downloading. And there's room for it to feel as effortless as the app promises to be.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform built around a passionate community, on a similar challenge to yours, making the site feel as energetic as the people it serves.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Felt close to what you're working through with Rodeo, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
"Contribution Labs, Inc.",megaphone.xyz/,high,other,strong precinct (Head of Base at Coinbase etc.),YourCulture,https://prismport.co/case-studies/your-culture,"Hey {first-name}, came across Megaphone while looking at crypto tools.

You've got names like the Head of Base at Coinbase backing what you do, so I'd guess most growth comes from being trusted inside tight crypto circles.

Which means the site is where a new team decides you're the real thing. And there's room for it to feel as credible as the names already behind you.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform built around a passionate creator community, on a similar challenge to yours, giving a community-driven brand a site as compelling as the momentum behind it.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Felt close to what you're working through with Megaphone, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Logic AI,logic.inc/,high,other,strong precinct (customer cut a 5-day process to 48s),Webless AI,https://prismport.co/case-studies/webless-ai,"Hey {first-name}, came across Logic while looking at AI tools.

One team cut a five-day process down to 48 seconds using you, so I'd guess results like that spread fast between operations people.

Which means the site is where a curious team decides you're worth trying. And there's room for it to feel as sharp as the outcomes you're delivering.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning strong interest into visitors who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Felt close to what you're working through with Logic, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Pronti AI,www.pronti.com,high,design,genuinely underbuilt design (sparse/early-stage) on a visual product,YourCulture,https://prismport.co/case-studies/your-culture,"Hey {first-name}, came across Pronti while looking at shopping tools.

Your whole thing is styling people visually, putting outfits together from their own clothes, so I'd guess the look and feel is a big part of whether someone trusts it.

Which means the site is the first taste of that styling sense. And there's room for it to show off the experience more than it does today.

Have you thought about giving it a proper design refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a creator and artist platform, on a similar challenge to yours, building a site with the visual craft to match a highly visual product.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Also, worth flagging, you've got a Meta Pixel cookie loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Legion AI,www.thelegionai.com/,medium,design,soft refresh (product-tone inference),Webless AI,https://prismport.co/case-studies/webless-ai,"Hey {first-name}, came across Legion while looking at AI tools.

You're selling teams a way to respond to leads in under a minute, so I'd guess your buyers care a lot about how sharp and polished the tools they pick feel.

Which means the site sets the tone before they ever book a demo. And there's room for it to feel as sharp as the product you're selling.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning first-time visitors into people who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Sweetspot,www.sweetspot.so,high,other,strong precinct (customers cutting proposal time 80%),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Sweetspot while looking at AI tools.

You've got customers cutting proposal time by 80%, so I'd guess word travels fast among government contracting teams who all know each other.

Which means the site is where a new contractor decides you're worth a real look. And there's room for it to feel as sharp as those results sound.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company selling into technical, process-heavy teams, on a similar challenge, getting a serious product to land fast with careful buyers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Sweetspot, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Fence,fence.finance,medium,other,soft refresh (institutional-credibility inference),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Fence while looking at fintech tools.

You're building debt capital markets infrastructure for institutions, so I'd guess the buyers who matter are careful, and credibility comes first for them.

Which means the site carries a lot of that first-impression weight. And there's room for it to feel as institutional-grade as what you're building.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling to careful, enterprise buyers, on a similar challenge, making a serious product feel as credible as it is.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Fence, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Nook,nookapp.xyz,medium,other,strong precinct ($500M+ transactions),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Nook while looking at fintech tools.

You've already run over $500 million in transactions, so I'd guess a lot of new users arrive through people who already trust it telling others.

Which means the site is where a cautious newcomer decides their money's safe with you. And there's room for it to feel as solid as those numbers suggest.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to earn trust with careful buyers, on a similar challenge to yours.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, worth flagging, you've got Meta Pixel and Google Ads cookies loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
DropCap,www.dropcap.com/,high,other,strong precinct (rights sold across 27 languages),Flatable,https://prismport.co/case-studies/flatable,"Hey {first-name}, came across DropCap while looking at publishing tools.

You've helped authors sell rights across 27 languages, so I'd guess most new authors come to you through others who've had a good experience.

Which means the site is where a hopeful author decides to trust you with their book. And there's room for it to feel as established as your track record already is.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a marketplace with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Also, one quick thing I noticed, your SSL certificate looks set to expire in about 11 days, worth a renew before it lapses.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Sandra AI,www.sandra-ai.com/,high,other,"strong precinct (4,000+ calls/month for a dealership)",Webless AI,https://prismport.co/case-studies/webless-ai,"Hey {first-name}, came across Sandra while looking at AI tools.

You've got a dealership running 4,000+ calls a month through you, so I'd guess word spreads between dealer groups who all talk to each other.

Which means the site is where a new dealership decides you're worth a trial. And there's room for it to feel as capable as the product clearly is.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning first-time visitors into people who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Seenapse,www.seenapse.ai,high,other,strong precinct (a Rockstar Games cofounder vouching),YourCulture,https://prismport.co/case-studies/your-culture,"Hey {first-name}, came across Seenapse while looking at AI tools.

You've got people like a cofounder of Rockstar Games vouching for you, so I'd guess a lot of creatives find you through others whose taste they trust.

Which means the site is where a curious creative decides you get how they think. And there's room for it to feel as inspired as the tool itself.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform for creators and artists, on a similar challenge to yours, giving a creative product a site with real craft to match.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Coreworks AI,www.coreworks.ai/,high,performance,"site speed (real-user load 4.33s, INP 420ms)",Studio Artegra,https://prismport.co/case-studies/studio-artegra,"Hey {first-name}, came across Coreworks while looking at fintech tools.

You're selling finance teams a faster way to get answers, so I'd guess the people landing here expect the site itself to feel quick too.

I ran a quick speed test and it came back over 4 seconds to load. A faster first load would help those finance buyers take you seriously right away.

Have you thought about a rebuild to speed it up?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Studio Artegra, a site that looked great but was slow under the hood, on a similar challenge to yours.

https://prismport.co/case-studies/studio-artegra

We rebuilt it and pushed performance up over 25%.

Also, worth flagging, you've got Meta Pixel and Google Ads cookies loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Elm AI (Formerly Esger),elm-ai.com/,high,other,"strong precinct (Reformation, Oxford Industries)",Amalia,https://prismport.co/case-studies/amalia-tech,"Hey {first-name}, came across Elm while looking at AI tools.

You've got brands like Reformation trusting you with their supply chain data, so I'd guess most new business comes through sustainability teams recommending you to peers.

Which means the site is where a new brand decides you're credible enough to hand that over. And there's room for it to feel as trusted as the names already using you.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a company in a heavily regulated, compliance-heavy space, on a similar challenge, building a credible site their own team could keep expanding.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Bagel Labs,www.bagel.com,medium,content,content depth (room to tell the research story),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Bagel while looking at AI tools.

You're posting real benchmark gains on decentralized diffusion, so I'd guess the people who find you are technical and want to go deep fast.

Which means the depth of what the site explains is doing a lot of the work. And there's room for it to tell more of the research story than it does today.

Have you thought about building the site out to show more of it?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, turning a site people skimmed into one they actually stayed and read.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Bagel, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
