Name,Domain,tech_stack,monthly_visits,letter_grade,priority,signal_category,chosen_signal,angle_rationale,inference,why_it_matters,use_traffic_scale,genuine_positive,quotable_fact_to_use,secondary_point,secondary_reasoning,case_study_name,case_study_rationale,case_study_url,tone_flag,first_message,second_message,third_message
Log10,log10.io/,framer,336,C+,high,other,precinct (customer cut screening time 50%),"Design (55) and content (67) fine, no perf. Named testimonials with a quantified result in a regulated setting. Led the percentage result.","They've helped a team cut literature screening time by 50%, so results like that travel fast among the careful, regulated teams they serve.","Framed on a new team deciding they're proven, not scale.",False,Named CEO testimonials; 50% less literature screening time.,cut literature screening time by 50%,none,No secondary_signals in the bundle.,NewsCatcherAPI,Technical/regulated credibility; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Log10 while looking at AI tools.

You've helped a team cut their literature screening time by 50%, so I'd guess results like that travel fast among the careful, regulated teams you serve.

Which means the site is where a new team decides you're proven. And there's room for it to feel as sharp as those results.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Log10, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Smile Genius Limited,smilegeniusdental.com/,framer,323,C-,high,other,results precinct (800+ hours recovered),"Design (52) and content (55) fine, no perf. A concrete result metric (unattributed but usable as a claim). Practice-owner word-of-mouth inference.","They help aligner businesses recover 800+ hours a year, so results like that spread as practice owners talk to each other.","Framed on a new business deciding they're worth trying, not scale.",False,800+ hours recovered annually; up to 10% margin reclaimed.,800+ hours recovered a year,none,No secondary_signals in the bundle.,NewsCatcherAPI,B2B SaaS credibility; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Smile Genius while looking at dental tools.

You're helping aligner businesses recover 800+ hours a year, so I'd guess results like that spread as practice owners talk to each other.

Which means the site is where a new business decides you're worth trying. And there's room for it to feel as sharp as those numbers.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Smile Genius, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Bidaya,www.bidaya.ai,framer,310,B-,high,other,precinct (Keystone Architecture winning with them),"Content (86) strong, design (49) fine, no perf. Named customers. Tight-industry word-of-mouth inference beats soft design.","Firms like Keystone Architecture win contracts with them, so word spreads fast among Canadian teams chasing the same tenders.","Framed on a new firm deciding to trust them with a bid, not scale.",False,Named customers with specific wins; Canada-wide portal coverage.,firms like Keystone Architecture winning contracts with them,none,No secondary_signals in the bundle.,NewsCatcherAPI,Document/proposal-heavy B2B credibility; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Bidaya while looking at AI tools.

You've got firms like Keystone Architecture winning contracts with you, so I'd guess word spreads fast among Canadian teams chasing the same tenders.

Which means the site is where a new firm decides you're worth trusting with a bid. And there's room for it to feel as sharp as those wins.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling into process-heavy teams, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Bidaya, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
"Juume AI, Inc.",juume.ai,framer,220,C,medium,content,"content depth (thin, 50)","content_really_thin is TRUE (50, sectors listed without explaining how the tools work) for a sensitive compliance product. Led content-depth. Design (52) not lacking, no perf.","They're tackling regulatory compliance and risk across serious industries, so buyers want to see exactly how it works before trusting it with something so sensitive.","Framed on the site needing to explain much more, with room to prove it.",False,A serious compliance and risk-management premise.,regulatory compliance and risk across serious industries,none,No secondary_signals in the bundle.,Amalia,"Regulated, compliance-heavy space and a build-out story; Amalia transfers.",https://prismport.co/case-studies/amalia-tech,clean,"Hey {first-name}, came across Juume while looking at AI tools.

You're tackling regulatory compliance and risk across serious industries, so I'd guess buyers want to see exactly how it works before they trust it with something so sensitive.

Which means the site needs to explain a lot more than it does now. And there's room for it to go deeper and prove it.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a company in a heavily regulated, compliance-heavy space, on a similar challenge, building out a site with real depth their own team could keep expanding.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Felt close to what you're working through with Juume, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
SatLayer,satlayer.xyz,framer,207,C-,high,other,precinct ($200M total value locked),"Design (50) and content (59) fine, no perf. A hard traction metric plus named partners. Trust-in-crypto inference beats soft design. Cited one metric.","They've already got $200M in total value locked, so trust and credibility in the Bitcoin world are their biggest assets.","Framed on a new partner or user deciding they're the real thing, not scale.",False,"$200M total value locked; named partners (Babylon, Sui, BNB Chain).",$200M in total value locked,none,No secondary_signals in the bundle.,NewsCatcherAPI,Technical crypto credibility; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across SatLayer while looking at crypto tools.

You've already got $200M in total value locked, so I'd guess trust and credibility in the Bitcoin world are your biggest assets.

Which means the site is where a new partner or user decides you're the real thing. And there's room for it to feel as substantial as those numbers.

Is a refresh to match on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, making complex work land clearly with a careful audience.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with SatLayer, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Subbb,www.subbb.me/,framer,0,B-,high,other,"precinct (2,000+ creators)","Design (50) and content (75) fine, no perf. Named communities and an adoption metric. Creator word-of-mouth inference. Ad-cookie GDPR finding staged for msg 2.","They've got 2,000+ creators monetizing their communities through them, so growth comes from creators seeing peers succeed and joining in.","Framed on a new creator deciding they're worth building on, not scale.",False,"2,000+ creators; named community examples.","2,000+ creators monetizing their communities","ad cookies before consent: Meta Pixel, Google Ads (no consent banner)",Present and distinctive; framed as a GDPR heads-up with EU traffic as an assumption.,YourCulture,Creator/community monetization; YourCulture's community-forward build transfers.,https://prismport.co/case-studies/your-culture,clean,"Hey {first-name}, came across Subbb while looking at creator tools.

You've got 2,000+ creators monetizing their communities through you, so I'd guess growth comes from creators seeing peers succeed and joining in.

Which means the site is where a new creator decides you're worth building on. And there's room for it to feel as vibrant as the communities you power.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform built around creators, on a similar challenge to yours, giving it a site as vibrant as the community it serves.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Also, worth flagging, you've got Meta Pixel and Google Ads cookies loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Simulon,simulon.com,framer,0,D-,medium,content,"content build-out (coming-soon page, content 9)","content is essentially nonexistent (9, a coming-soon page) and design_really_lacking is TRUE (34). Not a shutdown, so led a light build-out for an exciting 3D-creator product.","They're building next-gen 3D tools for creators, a genuinely exciting space, so people landing are curious to see what they're making.","Framed on the site being a coming-soon page now, with room to show off the work.",False,An exciting space (next-gen 3D creator tools).,next-gen 3D tools for creators,none,No secondary_signals in the bundle.,YourCulture,"Visual/creator product; YourCulture's motion-rich, showcase build transfers.",https://prismport.co/case-studies/your-culture,clean,"Hey {first-name}, came across Simulon while looking at 3D tools.

You're building next-gen 3D tools for creators, which is a genuinely exciting space, so I'd guess people landing are curious to see what you're making.

Right now the site is basically a coming-soon page. And there's real room to turn it into something that shows off the work.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform that had to show off something highly visual, on a similar challenge to yours.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Felt close to what you're working through with Simulon, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Datamonk,www.datamonk.ai/,framer,0,C,medium,design,soft refresh (healthcare-data trust inference),"Design (49) and content (57) fine, no perf, no named customers. Soft refresh grounded in the sensitive, regulated healthcare-data context.","They make diagnostic imaging data usable for AI, which sits in a sensitive, regulated corner of healthcare, so buyers care a lot about trust and rigor.","Framed on the site carrying real credibility, not scale.",False,A clear agentic-automation approach to medical imaging data.,making diagnostic imaging data usable for AI,none,No secondary_signals in the bundle.,Amalia,Regulated healthcare/data; Amalia's credible build transfers.,https://prismport.co/case-studies/amalia-tech,clean,"Hey {first-name}, came across Datamonk while looking at health tools.

You're making diagnostic imaging data usable for AI, which sits in a sensitive, regulated corner of healthcare, so I'd guess buyers care a lot about trust and rigor.

Which means the site carries real credibility weight. And there's room for it to feel as serious as the work.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a company in a careful, regulated, evidence-heavy space, on a similar challenge, building a site as credible as the work behind it.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Felt close to what you're working through with Datamonk, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
257,257.co/,framer,0,D+,medium,content,results precinct (25% higher engagement) + build-out,"design_really_lacking is TRUE (33, early-stage/placeholder) but there's a real client result; led the result with a build-out close since the site is bare. Content (60) fine.","They've got clients seeing 25% higher engagement using their home energy data, so results like that are what win over new partners.",Framed on the bare site having room to do those results justice.,False,A clear model (digital energy twin) and a 25% engagement result.,clients seeing 25% higher engagement,none,No secondary_signals in the bundle.,NewsCatcherAPI,Bare technical site with a strong pitch; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across 257 while looking at energy tools.

You've got clients seeing 25% higher engagement using your home energy data, so I'd guess results like that are what win over new partners.

Right now the site is pretty bare for a pitch that strong. And there's room to build it into something that does the results justice.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, turning a bare site into one that actually makes the case.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with 257, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
resourcly,resourcly.com,framer,0,C,high,other,precinct (Sandvik as customer),"Design (51) and content (65) fine, no perf. Recognizable named customer. Procurement-referral inference beats soft design. Brand intentionally lowercase.","Manufacturers like Sandvik use them to free up working capital, so growth comes through procurement leaders recommending them to peers.","Framed on a new manufacturer deciding they're credible, not scale.",False,"Named customers (Sandvik Mining, Schwäbische Werkzeugmaschinen).",manufacturers like Sandvik using them,none,No secondary_signals in the bundle.,NewsCatcherAPI,Manufacturing B2B credibility; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across resourcly while looking at supply chain tools.

You've got manufacturers like Sandvik using you to free up working capital, so I'd guess growth comes through procurement leaders recommending you to peers.

Which means the site is where a new manufacturer decides you're credible. And there's room for it to feel as capable as those customers suggest.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling to careful buyers, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with resourcly, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
XTAO,www.xtao.co,framer,0,B-,high,other,"press precinct (The Block, Yahoo Finance)","Content (79) strong, design (54) fine, no perf. Real press coverage. Investor-credibility inference; did not cite funding amounts.","They've been covered by outlets like The Block and Yahoo Finance for their Bittensor work, so credibility with serious crypto investors is what drives interest.","Framed on a new partner confirming they're legit, not scale.",False,Real press coverage; a clear business model in the Bittensor ecosystem.,covered by outlets like The Block and Yahoo Finance,none,No secondary_signals in the bundle.,NewsCatcherAPI,Technical crypto/investor credibility; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across XTAO while looking at crypto tools.

You've been covered by outlets like The Block and Yahoo Finance for your work in the Bittensor ecosystem, so I'd guess credibility with serious crypto investors is what drives interest.

Which means the site is where a new partner confirms you're legit. And there's room for it to feel as substantial as that coverage.

Is a refresh to match on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, making complex work land credibly with a careful audience.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with XTAO, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Reliabl,reliabl.ai,framer,0,C,high,other,precinct (Princeton algorithmic observatory backing),"Design (47) and content (68) fine, no perf. A distinctive research-institution endorsement. Research-credibility inference beats soft design.","They've got backing from places like Princeton's algorithmic observatory for their ethical annotation work, so credibility with research-minded buyers is central to how they grow.","Framed on a new team deciding they're the trustworthy option, not scale.",False,Princeton observatory endorsement; a research-backed annotation system.,backing from Princeton's algorithmic observatory,none,No secondary_signals in the bundle.,NewsCatcherAPI,Technical/research credibility; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Reliabl while looking at AI tools.

You've got backing from places like Princeton's algorithmic observatory for your ethical annotation work, so I'd guess credibility with research-minded buyers is central to how you grow.

Which means the site is where a new team decides you're the trustworthy option. And there's room for it to feel as considered as the mission.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Reliabl, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Stable Sea,stablesea.com,framer,0,C+,high,other,"precinct (insured up to $250M, media-covered)","Content (77) strong, design (56) fine, no perf. Concrete capability and real press. Trust/compliance inference beats soft design. Avoided the word 'seamless'. blocks_ai_crawlers staged for msg 2.","They handle stablecoin offramping insured up to $250M, so trust and compliance are exactly what win over serious clients.","Framed on a cautious partner deciding they're safe to use, not scale.",False,"Insured up to $250M; featured in Fortune, Axios, American Banker.",stablecoin offramping insured up to $250 million,blocks AI crawlers (robots setup),blocks_ai_crawlers present and relevant to findability.,NewsCatcherAPI,Fintech credibility for careful buyers; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Stable Sea while looking at fintech tools.

You're handling stablecoin offramping insured up to $250 million, so I'd guess trust and compliance are exactly what win over serious clients.

Which means the site is where a cautious partner decides you're safe to use. And there's room for it to feel as institutional-grade as those numbers.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling to careful, institutional buyers, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also worth checking, your robots setup is currently blocking the AI crawlers, so tools like ChatGPT can't see the site, which matters more for getting found these days.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Advex AI,advexai.com,framer,0,C-,high,other,results precinct ($1M+ a year saved),"Design (43) and content (55) fine, no perf. A strong quantified customer result. Factory-floor word-of-mouth inference.","They helped a manufacturer save over $1 million a year on inspection, so results like that get attention fast on the factory floor.","Framed on a new plant deciding they're worth trialing, not scale.",False,$1M+/yr saved for a manufacturer; runs on-device with no WiFi.,a manufacturer saving over $1 million a year,none,No secondary_signals in the bundle.,NewsCatcherAPI,Industrial B2B credibility; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Advex while looking at AI tools.

You helped a manufacturer save over $1 million a year on inspection, so I'd guess results like that get attention fast on the factory floor.

Which means the site is where a new plant decides you're worth trialing. And there's room for it to feel as capable as those numbers.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling to careful buyers, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Advex, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Parity,www.tryparity.com/,framer,0,D,medium,content,"content depth (thin, 46)","content_really_thin is TRUE (46) for a developer tool that needs to explain how it works. Led content-depth. Design (52) not lacking, no perf.","They're building an AI that helps on-call engineers find root causes fast, so the developers landing want real detail on how it actually works.","Framed on the site needing to show much more, with room to convince engineers.",False,"A clear, valuable use case (root-cause analysis for on-call engineers).",helps on-call engineers find root causes fast,none,No secondary_signals in the bundle.,NewsCatcherAPI,Developer-facing technical depth; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Parity while looking at dev tools.

You're building an AI that helps on-call engineers find root causes fast, so I'd guess the developers landing want real detail on how it actually works.

Which means the site needs to show a lot more than it does now. And there's room to build it into something that convinces engineers.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, turning a thin site into one that actually explains the product and holds attention.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Parity, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Letly,letly.ai/,framer,0,C+,medium,design,soft refresh (landlord word-of-mouth inference),"Named testimonials are only first names + neighborhoods (weak precinct), design (51) and content (69) fine, no perf. Soft refresh grounded in the landlord referral pattern.","They automate rentals for landlords, so a lot of them come through other landlords who've had a good experience.","Framed on a new landlord deciding to trust them with their properties, not scale.",False,A clear rentals-automation product with real landlord testimonials.,automating rentals for landlords,none,No secondary_signals in the bundle.,Flatable,Proptech with two audiences (landlords + tenants); Flatable's two-journey rebuild transfers.,https://prismport.co/case-studies/flatable,clean,"Hey {first-name}, came across Letly while looking at proptech tools.

You're automating rentals for landlords, so I'd guess a lot of them come to you through other landlords who've had a good experience.

Which means the site is where a new landlord decides you're worth trusting with their properties. And there's room for it to feel as capable as the product.

Is a refresh to match on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a proptech platform with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Felt close to what you're working through with Letly, where landlords and tenants each need their own path, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Purchs,purchs.io,framer,0,B-,high,other,precinct (100+ vendors and merchants) + two-sided,"Design (50) and content (74) fine, no perf. An adoption metric and named testimonials. Merchant word-of-mouth inference beats soft design.","They've got 100+ vendors and merchants on the platform, so growth spreads as merchants tell other merchants how much simpler ordering gets.","Framed on a new merchant deciding they're worth trying, not scale.",False,100+ vendors and merchants; named testimonials with results.,100+ vendors and merchants on the platform,none,No secondary_signals in the bundle.,Flatable,Two-sided marketplace (merchants + vendors); Flatable's two-journey rebuild transfers.,https://prismport.co/case-studies/flatable,clean,"Hey {first-name}, came across Purchs while looking at marketplace tools.

You've got 100+ vendors and merchants on the platform, so I'd guess growth spreads as merchants tell other merchants how much simpler ordering gets.

Which means the site is where a new merchant decides you're worth trying. And there's room for it to feel as sharp as the platform.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a marketplace with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Felt close to what you're working through with Purchs, where merchants and vendors each need their own path, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Noble XYZ,noble.xyz,framer,0,D,high,other,precinct (Circle building alongside them),"Design (50) and content (65) fine, no perf. Recognizable named partners plus billions in volume. Institutional-credibility inference; cited one partner to avoid piling.","Names like Circle build alongside them, so credibility with serious crypto institutions is what drives adoption.","Framed on a new partner confirming they're the real thing, not scale.",False,"Named partners (Circle, Coinbase, Fireblocks); billions in volume.",names like Circle building alongside them,none,No secondary_signals in the bundle.,NewsCatcherAPI,Technical crypto credibility; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Noble while looking at crypto tools.

You've got names like Circle building alongside you, so I'd guess credibility with serious crypto institutions is what drives adoption.

Which means the site is where a new partner confirms you're the real thing. And there's room for it to feel as substantial as that company.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, making complex work land clearly with a careful audience.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Noble, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Cityrow Go,go.cityrow.com/,framer,0,C,high,other,community precinct (rowers raving in reviews),"Design (49) and content (75) fine, no perf. Strong App Store review testimonials. Member word-of-mouth inference.","Rowers log hundreds of thousands of meters and rave in the reviews, so a lot of growth comes from members telling other people who row.","Framed on a curious rower deciding to try it, not scale.",False,Passionate App Store reviews; flexible workout features.,rowers logging hundreds of thousands of meters,none,No secondary_signals in the bundle.,YourCulture,"Community/consumer product; YourCulture's energetic, motion-rich build transfers.",https://prismport.co/case-studies/your-culture,clean,"Hey {first-name}, came across CityRow while looking at fitness tools.

You've got rowers logging hundreds of thousands of meters and raving in the reviews, so I'd guess a lot of growth comes from members telling other people who row.

Which means the site is where a curious rower decides to try it. And there's room for it to feel as energetic as the workouts.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform built around a passionate community, on a similar challenge to yours, giving it a site as lively as the people it serves.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Felt close to what you're working through with CityRow, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Ark Labs,arklabs.xyz,framer,0,D+,medium,content,"content depth (thin, 36)","content_really_thin is TRUE (36, generic descriptions) for a deeply technical Bitcoin L2. Led content-depth. Did not cite investor names (funding context). Avoided 'seamless'. Design (48) not lacking.","They're building a new Bitcoin layer-two for fast, low-cost payments, deeply technical, so the developers landing want real detail before they build on it.","Framed on the site needing to explain much more, with room to make the case.",False,A serious Bitcoin scaling protocol (Ark).,"a new Bitcoin layer-two for fast, low-cost payments",none,No secondary_signals in the bundle.,NewsCatcherAPI,Thin technical site; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Ark while looking at crypto tools.

You're building a new Bitcoin layer-two for fast, low-cost payments, which is deeply technical, so I'd guess the developers landing want real detail before they build on it.

Which means the site needs to explain a lot more than it does now. And there's room for it to properly make the case.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, turning a thin site into one that actually explains the product and holds attention.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Ark, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Atlas.co,atlas.co/,gatsby,253271,C,high,design,soft refresh (technical-audience inference) + scale,"Design (54) and content (77) fine, no perf, no named customers. High traffic (253k) so led a technical-first-impression inference with scale framing.","They give people an AI-native way to build maps, so a lot of the folks landing are technical and forming a fast opinion on whether it's the real thing.","Traffic is very high, so the site is doing a lot of convincing.",True,"A clear, innovative AI-native GIS product.",an AI-native way to build maps,none,No secondary_signals in the bundle.,NewsCatcherAPI,Technical product for a discerning audience; NewsCatcher's rebuild transfers.,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Atlas while looking at dev tools.

You're giving people an AI-native way to build maps, so I'd guess a lot of the folks landing are technical and forming a fast opinion on whether it's the real thing.

At 250k+ visits a month, the site is doing a lot of convincing. And there's room for it to feel as sharp as the product.

Is a refresh to match on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Atlas, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
