rank,Name,Domain,tech_stack,reason,redirect_same_company,gate_reason,enrichment_errors,apify_visits,outreach_priority
775.0,Agora,www.voteagora.com/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: voteagora.com -> agora.xyz. Content would belong to agora.xyz, not the prospect.",,0.0,na
796.0,hud,www.hud.so/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: hud.so -> hud.ai. Content would belong to hud.ai, not the prospect.",,0.0,na
801.0,Pangolin,digpangolin.com,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: digpangolin.com -> pangolin.net. Content would belong to pangolin.net, not the prospect.",,0.0,na
843.0,Nomain,www.nomain.ai,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: nomain.ai -> nomain.com. Content would belong to nomain.com, not the prospect.","Security: SSL: HTTPSConnectionPool(host='www.nomain.ai', port=443",0.0,na
850.0,The Mintable,www.getmintable.com,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: getmintable.com -> themintable.co. Content would belong to themintable.co, not the prospect.",,0.0,na
853.0,ValueBase,www.valuebase.co/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: valuebase.co -> valuebase.ai. Content would belong to valuebase.ai, not the prospect.",,0.0,na
858.0,Airial Travel,airial.live/,custom/static,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: airial.live -> airial.travel. Content would belong to airial.travel, not the prospect.",,0.0,na
869.0,Uviquity,uviquity.ai/,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: uviquity.ai -> uviquity.com. Content would belong to uviquity.com, not the prospect.","Security: SSL: HTTPSConnectionPool(host='uviquity.ai', port=443):",0.0,na
881.0,Axe,joinaxe.io,hubspot,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: joinaxe.io -> joinaxe.ai. Content would belong to joinaxe.ai, not the prospect.",,0.0,na
894.0,Alexandria Labs,alexandrialabs.xyz,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: alexandrialabs.xyz -> alexandriabooks.com. Content would belong to alexandriabooks.com, not the prospect.",,0.0,na
897.0,Emblematic,www.getemblematic.ai/,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: getemblematic.ai -> emblematic.ai. Content would belong to emblematic.ai, not the prospect.",,0.0,na
901.0,Guac,www.tryguac.co,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: tryguac.co -> guac.com. Content would belong to guac.com, not the prospect.",,0.0,na
910.0,Hosta Labs,hostalabs.com,wordpress,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: hostalabs.com -> hosta.ai. Content would belong to hosta.ai, not the prospect.",,0.0,na
914.0,Olympix,www.olympix.ai,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: olympix.ai -> olympix.security. Content would belong to olympix.security, not the prospect.",,0.0,na
924.0,Edexia,www.edexia.ai/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: edexia.ai -> edexia.com. Content would belong to edexia.com, not the prospect.",,0.0,na
928.0,Malibou,www.malibou.co,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: malibou.co -> malibou.com. Content would belong to malibou.com, not the prospect.",,0.0,na
929.0,SoloPulse,www.solopulseco.com/,wordpress,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: solopulseco.com -> solopulse.com. Content would belong to solopulse.com, not the prospect.",,0.0,na
930.0,Noble XYZ,nobleassets.xyz,framer,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: nobleassets.xyz -> noble.xyz. Content would belong to noble.xyz, not the prospect.",Mobile: HTTP 500; Desktop: HTTP 500,0.0,na
931.0,Hedgehog,githedgehog.com,hubspot,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: githedgehog.com -> hedgehog.cloud. Content would belong to hedgehog.cloud, not the prospect.",,0.0,na
951.0,IOMED,www.iomed.es/,webflow,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: iomed.es -> iomed.health. Content would belong to iomed.health, not the prospect.",,0.0,na
971.0,Ark Labs,arklabs.to,framer,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: arklabs.to -> arklabs.xyz. Content would belong to arklabs.xyz, not the prospect.",,0.0,na
989.0,Altitude AI,altitudeai.ai,hubspot,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: altitudeai.ai -> getaltitudeai.com. Content would belong to getaltitudeai.com, not the prospect.",,0.0,na
991.0,Conapto,www.conapto.se/,wordpress,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: conapto.se -> conapto.com. Content would belong to conapto.com, not the prospect.",,0.0,na
998.0,Corca,corca.io/,next.js,ACQUIRED_REDIRECT,same_company,"Redirects off-domain: corca.io -> corca.app. Content would belong to corca.app, not the prospect.",,0.0,na
38.0,MagicBrief,magicbrief.com/,webflow,ACQUIRED_REDIRECT,review,"The website announces the shutdown of MagicBrief and directs users to Canva Grow, stating that the MagicBrief team has joined Canva and users should migrate to Canva's platform.",,107773.0,na
131.0,Droidrun,www.droidrun.ai/,custom/static,ACQUIRED_REDIRECT,review,"The page explicitly states ""We've moved to mobilerun.ai"" and ""droidrun has evolved into the mobilerun framework"", indicating the company's primary site has shifted to a new domain/brand. This page serves as a redirect notice to the new entity/brand.",,24056.0,na
58.0,vly.ai,www.vly.ai/,next.js,ACQUIRED_REDIRECT,review,"The page explicitly states 'vly.ai has been acquired by Freebuff' and directs users to 'Go to Freebuff Web' for new accounts and project access, indicating a transition to the acquiring company's platform.",,14448.0,na
221.0,Daylight,www.daylight.xyz/,custom/static,ACQUIRED_REDIRECT,review,"The page explicitly states 'Daylight is now Clicker' and provides a description of Clicker, along with a link to 'Visit Clicker'. This indicates that the company 'Daylight' has rebranded or been acquired by 'Clicker', and the domain now serves as a transition page to the new entity.",,357.0,na
876.0,Elysium Lab,www.elysiumlab.io,custom/static,ACQUIRED_REDIRECT,review,The website clearly states 'Acquired by Blockstream' and explains that Elysium Lab's team and technology now drive Blockstream's expansion and R&D. It serves as an announcement of the acquisition.,,0.0,na
199.0,Hathora,hathora.dev/,custom/static,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: hathora.dev -> gamefabric.com. Content would belong to gamefabric.com, not the prospect.",,6444.0,na
212.0,Keywords AI,keywordsai.co,next.js,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: keywordsai.co -> respan.ai. Content would belong to respan.ai, not the prospect.",,5183.0,na
683.0,SDF,www.sdf.com,squarespace,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: sdf.com -> getdbt.com. Content would belong to getdbt.com, not the prospect.",,3525.0,na
943.0,Firefly Energy Solutions,firefly-es.com/,squarespace,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: firefly-es.com -> oneprimera.com. Content would belong to oneprimera.com, not the prospect.",,2273.0,na
243.0,MCP Use,mcp-use.com/,next.js,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: mcp-use.com -> manufact.com. Content would belong to manufact.com, not the prospect.",,1015.0,na
709.0,Composabl,www.composabl.com/,framer,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: composabl.com -> amesa.com. Content would belong to amesa.com, not the prospect.",,405.0,na
412.0,Eden,tryeden.ai,next.js,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: tryeden.ai -> quotain.com. Content would belong to quotain.com, not the prospect.",,288.0,na
778.0,DataWollet,www.datawollet.com/,webflow,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: datawollet.com -> onteric.com. Content would belong to onteric.com, not the prospect.",,232.0,na
619.0,Cleancard,www.cleancard.bio,custom/static,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: cleancard.bio -> numen.com. Content would belong to numen.com, not the prospect.",,147.0,na
223.0,GibsonAI,www.gibsonai.com,next.js,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: gibsonai.com -> memorilabs.ai. Content would belong to memorilabs.ai, not the prospect.",,0.0,na
277.0,WilsonAI,www.getwilson.ai/,next.js,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: getwilson.ai -> claren.law. Content would belong to claren.law, not the prospect.",,0.0,na
324.0,Palisade,www.palisade.co,next.js,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: palisade.co -> ripple.com. Content would belong to ripple.com, not the prospect.",,0.0,na
427.0,Accountstory,www.accountstory.com,react,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: accountstory.com -> hustlebot.ai. Content would belong to hustlebot.ai, not the prospect.",,0.0,na
517.0,Deckmatch,www.deckmatch.com,nuxt,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: deckmatch.com -> alphalens.ai. Content would belong to alphalens.ai, not the prospect.",,0.0,na
572.0,AiGent,www.aigent.energy,webflow,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: aigent.energy -> agentenergy.com. Content would belong to agentenergy.com, not the prospect.",,0.0,na
649.0,CFX Labs,www.cfxlabs.com,webflow,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: cfxlabs.com -> cfx.to. Content would belong to cfx.to, not the prospect.",,0.0,na
677.0,Beam,www.getbeam.cash/,hubspot,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: getbeam.cash -> moderntreasury.com. Content would belong to moderntreasury.com, not the prospect.",,0.0,na
742.0,Method AI,www.methodsurgical.ai,wordpress,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: methodsurgical.ai -> mthd.ai. Content would belong to mthd.ai, not the prospect.",,0.0,na
745.0,dScribe AI,dscribeai.com/,next.js,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: dscribeai.com -> rebulk.com. Content would belong to rebulk.com, not the prospect.",,0.0,na
776.0,Securily,securily.com,webflow,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: securily.com -> penti.ai. Content would belong to penti.ai, not the prospect.",,0.0,na
841.0,Materia,www.trymateria.ai,custom/static,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: trymateria.ai -> thomsonreuters.com. Content would belong to thomsonreuters.com, not the prospect.",,0.0,na
842.0,Waybridge,waybridge.com,custom/static,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: waybridge.com -> minehub.com. Content would belong to minehub.com, not the prospect.",,0.0,na
848.0,Inclusology,www.inclusology.com,shopify,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: inclusology.com -> bupatitogel6.org. Content would belong to bupatitogel6.org, not the prospect.",,0.0,na
851.0,Layer,www.layereditor.com,squarespace,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: layereditor.com -> openstudio.ing. Content would belong to openstudio.ing, not the prospect.",,0.0,na
855.0,Gryphon Digital Mining,gryphondigitalmining.com,webflow,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: gryphondigitalmining.com -> abtc.com. Content would belong to abtc.com, not the prospect.",,0.0,na
892.0,Honeycomb,joinhoneycomb.com/,woocommerce,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: joinhoneycomb.com -> totomacau99.com. Content would belong to totomacau99.com, not the prospect.",,0.0,na
895.0,Conectric Networks,www.conectric.com/,custom/static,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: conectric.com -> hugedomains.com. Content would belong to hugedomains.com, not the prospect.","Security: fetch: ('Connection aborted.', ConnectionResetError(54, '",0.0,na
904.0,Ureeka,www.ureeka.biz/,wordpress,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: ureeka.biz -> zenbusiness.com. Content would belong to zenbusiness.com, not the prospect.",,0.0,na
916.0,Wise Assistant,www.wiseassistant.com,next.js,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: wiseassistant.com -> tryrelish.com. Content would belong to tryrelish.com, not the prospect.",,0.0,na
926.0,RockStep Solutions,rockstepsolutions.com,wordpress,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: rockstepsolutions.com -> instem.com. Content would belong to instem.com, not the prospect.",,0.0,na
936.0,ThinAir™,www.thinair.ai,squarespace,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: thinair.ai -> lionsharemedia.com. Content would belong to lionsharemedia.com, not the prospect.",,0.0,na
945.0,Kepler,www.kepler.co,next.js,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: kepler.co -> afternic.com. Content would belong to afternic.com, not the prospect.",,0.0,na
949.0,LiquidOps,labs.liquidops.io,custom/static,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: liquidops.io -> webflow.io. Content would belong to webflow.io, not the prospect.",,0.0,na
961.0,Ansible Labs,www.ansiblelabs.xyz,hubspot,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: ansiblelabs.xyz -> moderntreasury.com. Content would belong to moderntreasury.com, not the prospect.",,0.0,na
967.0,Blockpliance Inc.,www.blockpliance.com,wordpress,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: blockpliance.com -> blockchaingroup.io. Content would belong to blockchaingroup.io, not the prospect.",,0.0,na
976.0,Whitebox,whitebox.com,wordpress,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: whitebox.com -> wbxcommerce.com. Content would belong to wbxcommerce.com, not the prospect.",,0.0,na
978.0,Rune,dusk.gg/,react,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: dusk.gg -> rune.ai. Content would belong to rune.ai, not the prospect.",,0.0,na
990.0,Ribbon Education,www.ribbonedu.com,,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: ribbonedu.com -> aljayplantingdreams.com. Content would belong to aljayplantingdreams.com, not the prospect.","Tech: SSL Error; AI-readiness: Raw HTML: HTTPSConnectionPool(host='www.ribbonedu.com', port; Security: SSL: HTTPSConnectionPool(host='www.ribbonedu.com', port",0.0,na
997.0,Fyn,fynhq.com,woocommerce,ACQUIRED_REDIRECT,different_company,"Redirects off-domain: fynhq.com -> qq288dx9.com. Content would belong to qq288dx9.com, not the prospect.",,0.0,na
276.0,Querio,querio.ai,framer,BLANK_RENDER,,"Screenshot rendered blank/white (100.0% white, variation 0.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,48940.0,na
78.0,MecAgent,mecagent.com/,framer,BLANK_RENDER,,"Screenshot rendered blank/white (100.0% white, variation 0.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,44101.0,na
310.0,Uxia,www.uxia.app,framer,BLANK_RENDER,,"Screenshot rendered blank/white (96.7% white, variation 11.2). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,16294.0,na
268.0,Leadbay,www.leadbay.ai/,framer,BLANK_RENDER,,"Screenshot rendered blank/white (99.5% white, variation 3.4). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,10292.0,na
168.0,EarlyDay,www.earlyday.com/,webflow,BLANK_RENDER,,"Screenshot rendered blank/white (100.0% white, variation 0.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,7889.0,na
67.0,Adni,www.adni.co/,svelte,BLANK_RENDER,,"Screenshot rendered blank/white (100.0% white, variation 0.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,7279.0,na
346.0,Mbodi AI,www.mbodi.ai/,framer,BLANK_RENDER,,"Screenshot rendered blank/white (98.6% white, variation 8.2). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",Mobile: HTTP 500,4882.0,na
502.0,COMMERCE.AI,www.commerce.ai/,webflow,BLANK_RENDER,,"Screenshot rendered blank/white (100.0% white, variation 0.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,4754.0,na
352.0,Switchboard,switchboard.xyz,custom/static,BLANK_RENDER,,"Screenshot rendered blank/white (100.0% white, variation 0.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,4025.0,na
564.0,Phaselaw,phase.law,webflow,BLANK_RENDER,,"Screenshot rendered blank/white (97.2% white, variation 8.1). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,3830.0,na
856.0,Helios Blockchain,helioschain.network/,next.js,BLANK_RENDER,,"Screenshot rendered blank/white (98.4% white, variation 3.1). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",Desktop: Timeout,3503.0,na
289.0,Brevian,brevian.ai/,webflow,BLANK_RENDER,,"Screenshot rendered blank/white (100.0% white, variation 0.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,3089.0,na
821.0,Ensemble AI,ensemblecore.ai,custom/static,BLANK_RENDER,,"Screenshot rendered blank/white (98.7% white, variation 3.9). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,2240.0,na
547.0,Riley AI,askriley.io,webflow,BLANK_RENDER,,"Screenshot rendered blank/white (98.3% white, variation 3.5). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,2054.0,na
474.0,Chezie,www.chezie.co,webflow,BLANK_RENDER,,"Screenshot rendered blank/white (98.7% white, variation 9.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,1616.0,na
802.0,Boya,boya.co/,custom/static,BLANK_RENDER,,"Screenshot rendered blank/white (97.2% white, variation 8.1). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,1036.0,na
766.0,Neolth,www.neolth.com,wix,BLANK_RENDER,,"Screenshot rendered blank/white (99.3% white, variation 4.7). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,611.0,na
409.0,hexafarms,hexafarms.com,webflow,BLANK_RENDER,,"Screenshot rendered blank/white (96.0% white, variation 7.2). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,446.0,na
730.0,Shader,www.shaderapp.com,custom/static,BLANK_RENDER,,"Screenshot rendered blank/white (100.0% white, variation 0.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",Mobile: HTTP 400; Desktop: HTTP 400,252.0,na
257.0,Cognosys,www.cognosys.ai,custom/static,BLANK_RENDER,,"Screenshot rendered blank/white (98.7% white, variation 4.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,0.0,na
786.0,Upollo,upollo.ai/,custom/static,BLANK_RENDER,,"Screenshot rendered blank/white (100.0% white, variation 0.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,0.0,na
817.0,Dror Ortho-Design,www.aerodentis.com/,custom/static,BLANK_RENDER,,"Screenshot rendered blank/white (100.0% white, variation 0.0). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,0.0,na
890.0,Payclair,payclair.com,custom/static,BLANK_RENDER,,"Screenshot rendered blank/white (97.2% white, variation 8.3). Page failed to render (JS-only app, slow load, or soft block); not gradeable.",,0.0,na
6.0,Ludus,ludus.com,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,Mobile: HTTP 500; Desktop: HTTP 500,1286171.0,na
220.0,Common Paper,www.commonpaper.com/,wordpress,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,44602.0,na
70.0,RedBalloon,www.redballoon.work/,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,33893.0,na
71.0,Segments.ai,segments.ai,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,23453.0,na
106.0,OpenGrants,opengrants.io,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,15752.0,na
173.0,HomeZada,www.HomeZada.com,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,14593.0,na
149.0,Shape,shapescale.com/,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,11663.0,na
85.0,Aveade,www.aveade.com,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,11489.0,na
544.0,Tipple,heytipple.com/,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,4029.0,na
653.0,MediaWallah,mediawallah.com,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,2659.0,na
355.0,Mav,www.hiremav.com,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,2257.0,na
679.0,Industrial Data Labs,www.industrialdatalabs.com,,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,Tech: SSL Error; AI-readiness: Raw HTML: HTTPSConnectionPool(host='www.industrialdatalabs.c; Security: SSL: HTTPSConnectionPool(host='www.industrialdatalabs.c,778.0,na
650.0,Sustainable Skylines,www.sustainableskylines.com,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,763.0,na
883.0,Culturewell,www.getculturewell.com,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,694.0,na
993.0,BrainSpec,brainspecmed.com/,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,581.0,na
999.0,Memory Anchor Inc.,www.memoryanchor.com/,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,25.0,na
728.0,UNPACKING,www.unpacking.co,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,0.0,na
860.0,HUI,world.hui.land,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,0.0,na
885.0,GoLogic,gologicsolutions.com/,wordpress,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,0.0,na
957.0,Heroes Made,heroesmade.com/,custom/static,BOT_BLOCKED,,HTTP 403 (blocked/forbidden).,,0.0,na
748.0,Absurd,absurd.com,custom/static,CAPTURE_FAILED,,"Page did not render real content after a patient re-render (post-JS words=20). Capture problem, not a dead site; recoverable -- retry the capture, do not treat as dead.",,13370.0,na
313.0,Merit Systems,www.merit.systems,next.js,CAPTURE_FAILED,,"Page did not render real content after a patient re-render (post-JS words=22). Capture problem, not a dead site; recoverable -- retry the capture, do not treat as dead.",,5610.0,na
332.0,DL Software,dl.software,squarespace,CAPTURE_FAILED,,"Page did not render real content after a patient re-render (post-JS words=15). Capture problem, not a dead site; recoverable -- retry the capture, do not treat as dead.",,4086.0,na
335.0,CarbonSix,www.carbon6robotics.com/,wix,CAPTURE_FAILED,,"Page did not render real content after a patient re-render (post-JS words=20). Capture problem, not a dead site; recoverable -- retry the capture, do not treat as dead.",,2694.0,na
